effect,component,group,term,estimate,std.error,conf.low,conf.high
ran_pars,cond,subj_id,sd__(Intercept),0.6784596063391161,0.08654509840375321,0.5364180410917349,0.87590709724649
ran_pars,cond,subj_id,sd__X_c,0.7240306760347921,0.09628342631714959,0.5615195205177229,0.935235633332065
ran_pars,cond,subj_id,sd__X_k,0.5811082417804808,0.08045214030124545,0.44174929523214723,0.7583386011348201
ran_pars,cond,subj_id,sd__X_c:X_k,0.656644908225754,0.11666665268946752,0.4549948819052259,0.9085458128725072
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.14299450091571378,0.11861436816777453,-0.36738806124839773,0.08953979216179554
ran_pars,cond,subj_id,cor__(Intercept).X_c,-0.1184518919289339,0.16495233833041834,-0.4367063301019488,0.21154952434297852
ran_pars,cond,subj_id,cor__(Intercept).X_k,-0.1546423558009246,0.16812120411251108,-0.4659832819160515,0.1819416324023655
ran_pars,cond,subj_id,cor__X_c.X_k,0.006936851305466245,0.17622209267334255,-0.34309243443153614,0.34460803408538465
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.10024369170140772,0.19054065414876128,-0.4615655481905447,0.2865953619958153
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,0.17330826058978005,0.19297651612385902,-0.20977950689684907,0.5334590356327954
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.10661938382934086,0.1958660122435632,-0.28237748838896093,0.4788020285193434
fixed,cond,NA,(Intercept),-0.012964825516523278,0.12401840429522876,-0.2574256996528402,0.22755270223055063
fixed,cond,NA,X_c,0.2602049241068063,0.11656016264757016,0.024616983419690628,0.49040091285249726
fixed,cond,NA,X_k,0.08864218946502272,0.16836965880817487,-0.2527336541305898,0.4243925917820986
fixed,cond,NA,X_c:X_k,-0.06624088339313963,0.17128894642212864,-0.4013406946878356,0.27447351675711906
ran_pars,cond,item_id,sd__(Intercept),0.6973725339722643,0.0567327957331168,0.5955351730596307,0.8225487234951296
ran_pars,cond,item_id,sd__X_c,0.5137986867587664,0.05282027309987426,0.41483777315785986,0.6225832887621019
ran_pars,cond,subj_id,sd__(Intercept),0.6462032059641178,0.0811635138396743,0.5077850887001756,0.8214126770183937
ran_pars,cond,subj_id,sd__X_c,0.6026960562731567,0.0821777831468933,0.4655399603129243,0.7787217406640513
ran_pars,cond,subj_id,sd__X_k,0.6203839339138495,0.08487020969449048,0.47588151376412285,0.8086273844909823
ran_pars,cond,subj_id,sd__X_c:X_k,0.7448446060312489,0.12107997209075713,0.5288147633509018,0.9970631159995805
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.11685049970243348,0.13066849780934853,-0.3723490172820222,0.14113729783963314
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.08746363126004032,0.16343373612776574,-0.25041008670219,0.39738494607036134
ran_pars,cond,subj_id,cor__(Intercept).X_k,-0.0036266688836069042,0.16837709127616174,-0.33713424902912464,0.33252111427727576
ran_pars,cond,subj_id,cor__X_c.X_k,0.2280342609337757,0.16988428790810234,-0.10995608843324065,0.5478126648421028
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.14389814408377655,0.17808020993126694,-0.4829409456113971,0.2131165837418929
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,0.31201316064884277,0.17590766978819633,-0.053292997044976455,0.6182677225485523
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.10838937579917227,0.18880386234467195,-0.2758157132220275,0.4721836253702456
fixed,cond,NA,(Intercept),-0.13990733739389224,0.11290602318800234,-0.3650059838161874,0.07732825546746723
fixed,cond,NA,X_c,0.08064635607295408,0.14069843795843742,-0.1962527406251579,0.35608752607275124
fixed,cond,NA,X_k,-0.20080816406579552,0.16095100483706595,-0.5107202009409199,0.11823480176827382
fixed,cond,NA,X_c:X_k,0.21854547499258653,0.19181707970943884,-0.1475528596378817,0.5907451745044408
ran_pars,cond,item_id,sd__(Intercept),0.6276436093756285,0.05067945809476062,0.539381878551244,0.7360800278963489
ran_pars,cond,item_id,sd__X_c,0.6162711395435853,0.059480275376149985,0.5078321536192049,0.7422343139167531
ran_pars,cond,subj_id,sd__(Intercept),0.574394424426368,0.07434501660177222,0.4508336034188188,0.7366936610792411
ran_pars,cond,subj_id,sd__X_c,0.7510127073416322,0.09572452268480956,0.5826615585026964,0.9514684303076656
ran_pars,cond,subj_id,sd__X_k,0.5733442024187803,0.07994540959016985,0.4384516844382539,0.755888693602951
ran_pars,cond,subj_id,sd__X_c:X_k,0.7893135367633918,0.12375744958591144,0.5764004014983831,1.060256934571124
ran_pars,cond,item_id,cor__(Intercept).X_c,0.0776282535544343,0.1247907929218026,-0.17890531218046482,0.31049004299173155
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.04061423808460557,0.15835485244986455,-0.28073517392872266,0.34701878145299586
ran_pars,cond,subj_id,cor__(Intercept).X_k,0.15539668214006155,0.16292778969188593,-0.17818166202906746,0.46540785808763596
ran_pars,cond,subj_id,cor__X_c.X_k,0.11073358325812213,0.16956340162988665,-0.22577704389105288,0.42861004288632115
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,0.027226151255019652,0.17967997082682513,-0.32183491272875764,0.3745427932634576
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,-0.002421345924215419,0.18245276894192705,-0.3633370386084364,0.3507623393678888
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.20308484743574562,0.1840060882391599,-0.1712838333246375,0.552885333978459
fixed,cond,NA,(Intercept),0.0015530922891014058,0.11652299497880554,-0.22194050215904781,0.23548489450729787
fixed,cond,NA,X_c,0.04839661675331316,0.13003984596547694,-0.19896785212012616,0.30706821991951866
fixed,cond,NA,X_k,0.25986847122064766,0.15489687265537452,-0.05187472844857919,0.5712748235639911
