Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(X_c:X_k)-(0.0) = 0,0.2033172275976742,0.17218939605016528,-0.12670895151951853,0.5468762655888626,NA,NA,
(X_c)-(0.0) = 0,-0.11548092117442972,0.13653011234370854,-0.3894238766528228,0.15598375719074264,NA,NA,
(X_k)-(0.0) = 0,-0.07307065107529626,0.1407328841775963,-0.348799958358525,0.20877831903646818,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.1396486236491987,0.1779409688077383,-0.49235182480312545,0.2167499046376862,NA,NA,
(X_c)-(0.0) = 0,0.15614946766448154,0.13864502085696753,-0.11973778278968782,0.42755744849050464,NA,NA,
(X_k)-(0.0) = 0,-0.063898580321249,0.16087340341826253,-0.3584148600804078,0.2588433039872503,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.010900128175757012,0.18548941962728568,-0.37872624617629463,0.3486412479966194,NA,NA,
(X_c)-(0.0) = 0,0.2602049241068063,0.11656016264757016,0.024616983419690625,0.49040091285249726,NA,NA,*
(X_k)-(0.0) = 0,0.08864218946502272,0.16836965880817487,-0.2527336541305899,0.4243925917820986,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.06624088339313963,0.17128894642212864,-0.4013406946878357,0.27447351675711906,NA,NA,
(X_c)-(0.0) = 0,0.08064635607295408,0.14069843795843742,-0.19625274062515802,0.35608752607275124,NA,NA,
(X_k)-(0.0) = 0,-0.20080816406579552,0.16095100483706595,-0.5107202009409199,0.11823480176827382,NA,NA,
(X_c:X_k)-(0.0) = 0,0.21854547499258653,0.19181707970943884,-0.14755285963788173,0.5907451745044408,NA,NA,
(X_c)-(0.0) = 0,0.04839661675331316,0.13003984596547694,-0.1989678521201262,0.30706821991951866,NA,NA,
(X_k)-(0.0) = 0,0.25986847122064766,0.15489687265537452,-0.051874728448579203,0.5712748235639911,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.27499105774905097,0.16827759382379207,-0.6019111006364198,0.05853934860091856,NA,NA,
(X_c)-(0.0) = 0,-0.06297423924404014,0.12075538378486741,-0.2952865602091521,0.18026538304077322,NA,NA,
(X_k)-(0.0) = 0,0.06824329417371602,0.16826814612370225,-0.2689193098777765,0.3914817408064904,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.23028792607443638,0.18715727830663756,-0.595628067571413,0.13727826116383193,NA,NA,
(X_c)-(0.0) = 0,-0.1312053641446433,0.12850066809579014,-0.38099140626263867,0.12450472559661116,NA,NA,
(X_k)-(0.0) = 0,0.013824510419179852,0.16429217088133433,-0.3117738871248359,0.3279581987087398,NA,NA,
(X_c:X_k)-(0.0) = 0,0.1789777736660911,0.15326198054088155,-0.1300493023547456,0.47684608925195265,NA,NA,
(X_c)-(0.0) = 0,0.030083885618510477,0.121402283193855,-0.204713993311941,0.2590975104109678,NA,NA,
(X_k)-(0.0) = 0,-0.18167823163906985,0.141981755947931,-0.4599703350991651,0.09976123343324673,NA,NA,
(X_c:X_k)-(0.0) = 0,0.06905435735029886,0.17599552725509784,-0.2814908648101586,0.4069595092177718,NA,NA,
