Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(X_c:X_k)-(0.0) = 0,0.004385598114588681,0.05610622061517674,-0.10305478367420319,0.11424012493444576,NA,NA,
(X_c)-(0.0) = 0,-8.269070102834268e-4,0.02811671704497893,-0.05552511667670613,0.054584637162377346,NA,NA,
(X_k)-(0.0) = 0,-0.08384222671885219,0.02772848692085983,-0.13866479258043507,-0.029546347137264044,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.24329416014533692,0.056397886538587565,0.13102692755511647,0.3510895280813574,NA,NA,*
(X_c)-(0.0) = 0,-0.09054973500992125,0.028636748466951682,-0.14661380573370836,-0.03506624779412051,NA,NA,*
(X_k)-(0.0) = 0,0.3067327192870273,0.02774087338534959,0.25245608244227385,0.3608904577812875,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.0927465688953685,0.05641533053413218,-0.20581989938830506,0.01897734940629597,NA,NA,
(X_c)-(0.0) = 0,-0.03704388391648524,0.02741816856707679,-0.09163248953410899,0.0160985552583445,NA,NA,
(X_k)-(0.0) = 0,-0.07829061560850777,0.028863895508266343,-0.13466783519370062,-0.022080441972557784,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.007930072245578096,0.055320462193994294,-0.11792511578986474,0.10021303980792264,NA,NA,
(X_c)-(0.0) = 0,-0.0481983950963622,0.02858399636544563,-0.10317304526088211,0.011792307601836197,NA,NA,
(X_k)-(0.0) = 0,-0.10232185537149284,0.028416576099257487,-0.15791325877846404,-0.04486405832229538,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.060839726132071795,0.055927169027457764,-0.052033157183889726,0.17071884755486327,NA,NA,
(X_c)-(0.0) = 0,-0.05856153973097991,0.027803747221237473,-0.11313933919388491,-0.004026193592459815,NA,NA,*
(X_k)-(0.0) = 0,0.03172065125705897,0.027905419625328786,-0.023959981944168093,0.08644630742259544,NA,NA,
(X_c:X_k)-(0.0) = 0,0.062047385267590974,0.05640782942206613,-0.04960479791489256,0.17195173229244456,NA,NA,
(X_c)-(0.0) = 0,0.09153456779870954,0.027543527479844496,0.036779212891284496,0.14467665579451613,NA,NA,*
(X_k)-(0.0) = 0,-0.028201742532188632,0.028608962880352903,-0.08302190327202626,0.029176778291405206,NA,NA,
(X_c:X_k)-(0.0) = 0,0.08583624771376981,0.05513821859097764,-0.022772934128498543,0.19683885528086167,NA,NA,
(X_c)-(0.0) = 0,0.016386885180214267,0.027603173013373755,-0.03650010347925734,0.06856328995036498,NA,NA,
(X_k)-(0.0) = 0,0.16283262960367972,0.02797561079705165,0.1094210524170846,0.2181513635564629,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.10968253619429195,0.05731570834523596,-0.21912614352592796,0.004315914886568964,NA,NA,
(X_c)-(0.0) = 0,-0.037748804980773695,0.027880713651612755,-0.0936943294247676,0.017451101212999375,NA,NA,
(X_k)-(0.0) = 0,-0.03215232514370012,0.028575744809488872,-0.08728011008215271,0.02356708832623915,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.1103583099924735,0.05663702909403495,-0.21967410195754483,7.694503798878174e-4,NA,NA,
(X_c)-(0.0) = 0,-0.01914424944877433,0.02745605195762165,-0.07364520545556695,0.033191695117372695,NA,NA,
(X_k)-(0.0) = 0,0.08864016417221492,0.02793382674767569,0.032612181608119496,0.14362566920555114,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.045332983209653344,0.0560680172608268,-0.15414194079163623,0.06464262621048175,NA,NA,
(X_c)-(0.0) = 0,0.1442490262079148,0.027948325753858933,0.09059982746552414,0.19975268098084534,NA,NA,*
(X_k)-(0.0) = 0,-0.05688672564319334,0.028473324374996653,-0.11360295547635513,0.0010941523273037032,NA,NA,
(X_c:X_k)-(0.0) = 0,0.057453377904176726,0.055730018023549675,-0.050796496037853175,0.16694080630981967,NA,NA,
(X_c)-(0.0) = 0,0.030427856470750435,0.02812962814683715,-0.024961410949009725,0.08562886658403879,NA,NA,
(X_k)-(0.0) = 0,0.026403594592948824,0.028275178247197538,-0.0285503349830312,0.0813216470000275,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.1726449935725585,0.05538677847455491,-0.28218926704721636,-0.0633457299935318,NA,NA,*
(X_c)-(0.0) = 0,0.06902610724556402,0.028086141414270935,0.01423346824473657,0.1265071960263583,NA,NA,*
(X_k)-(0.0) = 0,0.03896268731554661,0.028162393909720695,-0.014529742058796664,0.09425013352757472,NA,NA,
(X_c:X_k)-(0.0) = 0,0.2292654273003972,0.05534113018724164,0.11793245783214179,0.33802749662616355,NA,NA,*
(X_c)-(0.0) = 0,-0.050682104872884486,0.027788081554882563,-0.1058154273111163,0.004583595906398974,NA,NA,
(X_k)-(0.0) = 0,0.06391634531599404,0.028357148226244598,0.008601266544724902,0.1192843770187559,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.23184736743408632,0.056126229343010224,0.12281266810861767,0.3419335136896694,NA,NA,*
(X_c)-(0.0) = 0,-0.06030485971650866,0.027381417085926146,-0.11493054369613342,-0.007779542862814194,NA,NA,*
(X_k)-(0.0) = 0,0.06166188510272752,0.0283462259965686,0.006811407872667473,0.11792181825958771,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.10167525207133421,0.05705269762430343,-0.21370727413949328,0.010743512446815404,NA,NA,
(X_c)-(0.0) = 0,0.14163452193808665,0.02818140220112522,0.08610204141103804,0.19609845588270228,NA,NA,*
(X_k)-(0.0) = 0,0.01259391804165084,0.028503132808930586,-0.04399558622433797,0.06775147747563505,NA,NA,
(X_c:X_k)-(0.0) = 0,0.02448849705637117,0.05657336769449744,-0.08824347977545065,0.13356834819554686,NA,NA,
(X_c)-(0.0) = 0,-0.043793117795286614,0.02807555925448613,-0.09856697317973749,0.011152037151296881,NA,NA,
(X_k)-(0.0) = 0,0.004074620696619022,0.02787371375001631,-0.05142167595066942,0.06042700570749762,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.07169914328057556,0.05567837030559196,-0.18427934570835114,0.034970247270651955,NA,NA,
(X_c)-(0.0) = 0,0.042160871413523225,0.027664075916886615,-0.010216241137827153,0.09484438760165952,NA,NA,
(X_k)-(0.0) = 0,-0.015515574009589708,0.02826576838782002,-0.07123198531618591,0.03941417419735525,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.1679822402595,0.056871329102256764,-0.27857151351445164,-0.055415127478085836,NA,NA,*
(X_c)-(0.0) = 0,-0.05117647834180086,0.028279193101783322,-0.10573100346508038,0.003929205476739832,NA,NA,
(X_k)-(0.0) = 0,-0.1550941367114052,0.028236207378396168,-0.2093471977862439,-0.09979440535350476,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.13487829930107928,0.05687015869176892,-0.24688865827461068,-0.026463366019233287,NA,NA,*
(X_c)-(0.0) = 0,0.041358946944838416,0.02822279338448721,-0.013079778341604066,0.0976753545238622,NA,NA,
(X_k)-(0.0) = 0,0.2093091555149333,0.027406541841542002,0.15642610032565687,0.26372820531447067,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.1530199032597121,0.056909117438466245,-0.2620474968383893,-0.04064631360247142,NA,NA,*
(X_c)-(0.0) = 0,-0.03946982638889168,0.02839698402385596,-0.09309090567205291,0.016995999722724874,NA,NA,
(X_k)-(0.0) = 0,-0.04056628925851585,0.028326331184487238,-0.0961345592493631,0.015108746174573294,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.007427000081412246,0.05523259393893912,-0.11628699388315425,0.10380916455885503,NA,NA,
(X_c)-(0.0) = 0,-0.06714412791661013,0.027939318764875584,-0.12261706368789732,-0.012269722819165633,NA,NA,*
(X_k)-(0.0) = 0,-0.032970616614506475,0.028224081075472956,-0.08853973278100508,0.024003605895844105,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.053706749932986686,0.05545724108521834,-0.16098532420834075,0.05561824732160965,NA,NA,
(X_c)-(0.0) = 0,0.018062710132202855,0.028049982388173984,-0.037452073493393266,0.07196622571080095,NA,NA,
(X_k)-(0.0) = 0,-0.029485244779487205,0.02776472531140535,-0.08424433485320289,0.024080210745148756,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.054860148371469894,0.056749361298455224,-0.16570713962028152,0.05644334961073468,NA,NA,
(X_c)-(0.0) = 0,0.11891748624174112,0.028044764401099757,0.06396268321346,0.17339348672053165,NA,NA,*
(X_k)-(0.0) = 0,-0.06129257396427381,0.027932494460854274,-0.11628431250449102,-0.0052165479132672615,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.00965119132098762,0.05734288012174099,-0.1224124340155506,0.10014211945369449,NA,NA,
(X_c)-(0.0) = 0,-0.07598597441495389,0.02769692670495872,-0.12998102925458097,-0.02169881102611341,NA,NA,*
(X_k)-(0.0) = 0,0.11531116974422019,0.029038871718160636,0.05946104195027136,0.1713706156160021,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.10489981576983089,0.05553532740999377,-0.21668008163523003,0.002784489987770601,NA,NA,
(X_c)-(0.0) = 0,-0.1406799200020145,0.02782276000865092,-0.19647891623801836,-0.08589587293320232,NA,NA,*
(X_k)-(0.0) = 0,0.06222859748668416,0.027839799262526648,0.007006213852996554,0.11595019468953735,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.041117942036499835,0.05552290112639102,-0.06786656713934944,0.15392218400654828,NA,NA,
(X_c)-(0.0) = 0,0.007355358025478196,0.02848373764438746,-0.04787549951760406,0.06373537070170507,NA,NA,
(X_k)-(0.0) = 0,0.10306398652666064,0.028289164329218994,0.047397894133557925,0.15910596091532803,NA,NA,*
