term,estimate,std.error
b_Intercept,0.09102370273637392,0.01400289660029979
b_X_c,0.014168437209124734,0.027623391865961893
b_X_k,0.04862132161083925,0.02818651171509339
b_X_c:X_k,-0.09347232855089335,0.05538602589948362
lprior,-1.9180631531700092,2.74099508562669e-4
b_Intercept,-0.13947251562449586,0.013857996963174591
b_X_c,-0.11548387552726527,0.02736552638797014
b_X_k,0.023708573426253182,0.028733698133732718
b_X_c:X_k,0.25693270045159267,0.05620556066615539
lprior,-1.919253448049402,4.129155634852159e-4
b_Intercept,-0.030294199245785254,0.01400060868849222
b_X_c,-0.15863020204090952,0.028554245607626896
b_X_k,-0.008318425462308796,0.027375178428027738
b_X_c:X_k,-0.20354915787887068,0.05510553353191501
lprior,-1.9172774712098823,9.581494177620992e-5
b_Intercept,-0.06602449402615612,0.013828476210996416
b_X_c,0.14954011356213892,0.027620094701068677
b_X_k,-0.10831672295807615,0.028496889373538836
b_X_c:X_k,0.05209344032487868,0.05628353580848059
lprior,-1.917644512393189,1.9685140458712138e-4
b_Intercept,0.067586700932844,0.014220381048319889
b_X_c,-0.10834641616200905,0.02845903066485019
b_X_k,0.07359680322540074,0.028453217506570327
b_X_c:X_k,-0.2398045060570112,0.056867716937114496
lprior,-1.9176667714508189,2.0773027873019267e-4
b_Intercept,0.0368517745692479,0.014025571220812674
b_X_c,-0.023675405639018102,0.027760240486628476
b_X_k,0.06728380818902185,0.028139231181785004
b_X_c:X_k,0.021526311920417058,0.05537061576499115
lprior,-1.9173244352693808,1.1299640012680543e-4
b_Intercept,0.08486076601627746,0.013757596718914602
b_X_c,0.15792092749504424,0.027828824084293144
b_X_k,0.12847158375535567,0.029058950233394866
b_X_c:X_k,-0.09730593525388825,0.05714374769903395
lprior,-1.917947577986109,2.5117570942926833e-4
b_Intercept,-0.05725889287304043,0.013790615347231068
b_X_c,0.12602258728334237,0.027962934278777718
b_X_k,0.14715380414268797,0.027880133733160544
b_X_c:X_k,0.005851288335711531,0.05489782716662174
lprior,-1.9175292662127579,1.691733161338141e-4
